gspp_id,gspp_title,gspp_level,coverage,confidence,gs_ids,gs_titles,gs_levels,rationale,gap_notes,model,timestamp
GC.8.1.4,Festlegung einer Sicherheitsorganisation,normal-SdT,teilweise,0.7319,ISMS.1.A6; ISMS.1.A11; ISMS.1.A7; ISMS.1.A2; ISMS.1.A1,ISMS.1.A6: Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit; ISMS.1.A11: Aufrechterhaltung der Informationssicherheit; ISMS.1.A7: Festlegung von Sicherheitsmaßnahmen; ISMS.1.A2: Festlegung der Sicherheitsziele und -strategie; ISMS.1.A1: Übernahme der Gesamtverantwortung für Informationssicherheit durch die Leitung,Basis; Standard; Basis; Basis; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
GC.8.1.6,Ressourcen für den Informationssicherheitsbeauftragten,normal-SdT,teilweise,0.7217,ISMS.1.A4; ISMS.1.A9; ISMS.1.A5; ISMS.1.A1; ISMS.1.A6,ISMS.1.A4: Benennung eines oder einer Informationssicherheitsbeauftragten; ISMS.1.A9: Integration der Informationssicherheit in organisationsweite Abläufe und Prozesse; ISMS.1.A5: Vertragsgestaltung bei Bestellung eines oder einer externen Informationssicherheitsbeauftragten; ISMS.1.A1: Übernahme der Gesamtverantwortung für Informationssicherheit durch die Leitung; ISMS.1.A6: Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit,Basis; Basis; Basis; Basis; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
GC.9.1,Festlegung eines Verfahrens zum Kommunikationsmanagement,normal-SdT,teilweise,0.6343,ISMS.1.A7; ISMS.1.A11; ISMS.1.A6; ISMS.1.A2; ORP.5.A4,ISMS.1.A7: Festlegung von Sicherheitsmaßnahmen; ISMS.1.A11: Aufrechterhaltung der Informationssicherheit; ISMS.1.A6: Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit; ISMS.1.A2: Festlegung der Sicherheitsziele und -strategie; ORP.5.A4: Konzeption und Organisation des Compliance Managements,Basis; Standard; Basis; Basis; Standard,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
GC.10.1,Festlegung von Vorgehensweisen,normal-SdT,teilweise,0.6916,ISMS.1.A13; ISMS.1.A7; ISMS.1.A11; ISMS.1.A12; ISMS.1.A10,ISMS.1.A13: Dokumentation des Sicherheitsprozesses; ISMS.1.A7: Festlegung von Sicherheitsmaßnahmen; ISMS.1.A11: Aufrechterhaltung der Informationssicherheit; ISMS.1.A12: Management-Berichte zur Informationssicherheit; ISMS.1.A10: Erstellung eines Sicherheitskonzepts,Standard; Basis; Standard; Standard; Standard,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
STM.3.1,ISMS-Anforderungen des Informationsverbundes,normal-SdT,teilweise,0.6177,ISMS.1.A10; ISMS.1.A7; ISMS.1.A11; ISMS.1.A6,ISMS.1.A10: Erstellung eines Sicherheitskonzepts; ISMS.1.A7: Festlegung von Sicherheitsmaßnahmen; ISMS.1.A11: Aufrechterhaltung der Informationssicherheit; ISMS.1.A6: Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit,Standard; Basis; Standard; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
STM.7.1,Überprüfung des gesetzten Sicherheitsniveaus,normal-SdT,teilweise,0.623,ISMS.1.A11; ISMS.1.A7; ISMS.1.A10; ISMS.1.A17; ISMS.1.A6,ISMS.1.A11: Aufrechterhaltung der Informationssicherheit; ISMS.1.A7: Festlegung von Sicherheitsmaßnahmen; ISMS.1.A10: Erstellung eines Sicherheitskonzepts; ISMS.1.A17: Abschließen von Versicherungen; ISMS.1.A6: Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit,Standard; Basis; Standard; Erhöht; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
UMS.6.1,Nachverfolgung des Umsetzungsfortschritts,normal-SdT,teilweise,0.6209,ISMS.1.A11; ISMS.1.A7; ISMS.1.A13; ISMS.1.A12; ISMS.1.A10,ISMS.1.A11: Aufrechterhaltung der Informationssicherheit; ISMS.1.A7: Festlegung von Sicherheitsmaßnahmen; ISMS.1.A13: Dokumentation des Sicherheitsprozesses; ISMS.1.A12: Management-Berichte zur Informationssicherheit; ISMS.1.A10: Erstellung eines Sicherheitskonzepts,Standard; Basis; Standard; Standard; Standard,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
VRB.4.2,Verbesserungsmaßnahmen,normal-SdT,teilweise,0.6553,ISMS.1.A7; ISMS.1.A11; ISMS.1.A8; ISMS.1.A10; ISMS.1.A17,ISMS.1.A7: Festlegung von Sicherheitsmaßnahmen; ISMS.1.A11: Aufrechterhaltung der Informationssicherheit; ISMS.1.A8: Integration der Mitarbeitenden in den Sicherheitsprozess; ISMS.1.A10: Erstellung eines Sicherheitskonzepts; ISMS.1.A17: Abschließen von Versicherungen,Basis; Standard; Basis; Standard; Erhöht,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
ARCH.2.2.1,Externe Netzanschlüsse,normal-SdT,teilweise,0.691,NET.1.1.A11; NET.1.1.A34; NET.1.1.A12; NET.1.1.A18; NET.1.1.A7,NET.1.1.A11: Absicherung eingehender Kommunikation vom Internet in das interne Netz; NET.1.1.A34: Einsatz kryptografischer Verfahren auf Netzebene; NET.1.1.A12: Absicherung ausgehender interner Kommunikation zum Internet; NET.1.1.A18: P-A-P-Struktur für die Internet-Anbindung; NET.1.1.A7: Absicherung von schützenswerten Informationen,Basis; Erhöht; Basis; Standard; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
ARCH.2.2.2,Gastnetz,normal-SdT,teilweise,0.661,INF.10.A6; NET.1.1.A11; INF.14.A28; NET.1.1.A4; NET.1.1.A18,INF.10.A6: Einrichtung sicherer Netzzugänge; NET.1.1.A11: Absicherung eingehender Kommunikation vom Internet in das interne Netz; INF.14.A28: Physische Trennung der GA; NET.1.1.A4: Netztrennung in Zonen; NET.1.1.A18: P-A-P-Struktur für die Internet-Anbindung,Standard; Basis; Erhöht; Basis; Standard,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
ARCH.2.6,Topologieüberwachung,normal-SdT,teilweise,0.6466,NET.1.1.A15; NET.1.1.A13; NET.1.1.A27; NET.1.1.A14; NET.1.1.A29,NET.1.1.A15: Regelmäßiger Soll-Ist-Vergleich; NET.1.1.A13: Netzplanung; NET.1.1.A27: Einbindung der Netzarchitektur in die Notfallplanung; NET.1.1.A14: Umsetzung der Netzplanung; NET.1.1.A29: Hochverfügbare Realisierung von Netzanbindungen,Basis; Basis; Standard; Basis; Erhöht,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
ARCH.4.1,Netzzugangskontrolle,normal-SdT,teilweise,0.77,NET.3.4.A10; NET.3.4.A11; NET.3.4.A19; NET.3.4.A9; NET.3.4.A12,NET.3.4.A10: Sichere Nutzung von Identitäten; NET.3.4.A11: Sichere Konfiguration der NAC-Lösung; NET.3.4.A19: Ordnungsgemäße Verwaltung von Identitäten zur Authentisierung; NET.3.4.A9: Festlegung eines angepassten NAC-Regelwerkes; NET.3.4.A12: Monitoring der NAC-Lösung,Standard; Standard; Standard; Standard; Standard,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
ARCH.4.1.1,Dynamische Netzzugangskontrolle,normal-SdT,teilweise,0.7096,NET.3.4.A10; NET.3.4.A11; NET.3.4.A19; NET.3.4.A9; NET.3.4.A5,NET.3.4.A10: Sichere Nutzung von Identitäten; NET.3.4.A11: Sichere Konfiguration der NAC-Lösung; NET.3.4.A19: Ordnungsgemäße Verwaltung von Identitäten zur Authentisierung; NET.3.4.A9: Festlegung eines angepassten NAC-Regelwerkes; NET.3.4.A5: Anpassung von Prozessen für Endgeräte bezüglich NAC,Standard; Standard; Standard; Standard; Standard,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
ARCH.4.3,Authentifizierung von Routingprotokollen,normal-SdT,teilweise,0.6279,NET.3.1.A20; IND.1.A14; NET.3.4.A7; NET.3.1.A21; NET.3.4.A10,NET.3.1.A20: Sicherheitsaspekte von Routing-Protokollen; IND.1.A14: Starke Authentisierung an OT-Komponenten; NET.3.4.A7: Nutzung sicherer Authentisierungsverfahren; NET.3.1.A21: Identitäts- und Berechtigungsmanagement in der Netzinfrastruktur; NET.3.4.A10: Sichere Nutzung von Identitäten,Standard; Erhöht; Standard; Standard; Standard,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
ARCH.5.1.5,Deaktivierung von Split Tunneling,normal-SdT,teilweise,0.6667,NET.1.1.A11; NET.3.3.A11; NET.3.3.A5; NET.1.1.A34; NET.1.1.A18,NET.1.1.A11: Absicherung eingehender Kommunikation vom Internet in das interne Netz; NET.3.3.A11: Sichere Anbindung eines externen Netzes; NET.3.3.A5: Sperrung nicht mehr benötigter VPN-Zugänge; NET.1.1.A34: Einsatz kryptografischer Verfahren auf Netzebene; NET.1.1.A18: P-A-P-Struktur für die Internet-Anbindung,Basis; Standard; Basis; Erhöht; Standard,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
ARCH.5.1.8,Inspektion verschlüsselter Verbindungen,normal-SdT,teilweise,0.6648,NET.3.2.A21; NET.1.1.A12; NET.3.2.A20; NET.1.1.A18; NET.3.2.A9,NET.3.2.A21: Temporäre Entschlüsselung des Datenverkehrs; NET.1.1.A12: Absicherung ausgehender interner Kommunikation zum Internet; NET.3.2.A20: Absicherung von grundlegenden Internetprotokollen; NET.1.1.A18: P-A-P-Struktur für die Internet-Anbindung; NET.3.2.A9: Protokollierung,Standard; Basis; Standard; Standard; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
ARCH.5.1.10,Webfilterung,normal-SdT,teilweise,0.6574,NET.3.2.A28; NET.3.2.A2; NET.1.1.A4; SYS.3.2.1.A28; NET.1.1.A18,NET.3.2.A28: Zentrale Filterung von aktiven Inhalten; NET.3.2.A2: Festlegen der Firewall-Regeln; NET.1.1.A4: Netztrennung in Zonen; SYS.3.2.1.A28: Verwendung der Filteroption für Webseiten; NET.1.1.A18: P-A-P-Struktur für die Internet-Anbindung,Erhöht; Basis; Basis; Standard; Standard,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
ARCH.5.1.11,P-A-P-Struktur,normal-SdT,teilweise,0.7137,NET.3.2.A16; NET.1.1.A18; NET.1.1.A4; NET.1.1.A12; APP.3.6.A16,"NET.3.2.A16: Aufbau einer „P-A-P“-Struktur; NET.1.1.A18: P-A-P-Struktur für die Internet-Anbindung; NET.1.1.A4: Netztrennung in Zonen; NET.1.1.A12: Absicherung ausgehender interner Kommunikation zum Internet; APP.3.6.A16: Integration eines DNS-Servers in eine ""P-A-P""-Struktur",Standard; Standard; Basis; Basis; Standard,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
ARCH.8.1,Redundanz im Kernnetz,normal-SdT,teilweise,0.6582,NET.1.1.A29; NET.1.1.A28; NET.1.1.A27; INF.2.A26; INF.12.A17,NET.1.1.A29: Hochverfügbare Realisierung von Netzanbindungen; NET.1.1.A28: Hochverfügbare Netz- und Sicherheitskomponenten; NET.1.1.A27: Einbindung der Netzarchitektur in die Notfallplanung; INF.2.A26: Redundante Auslegung von Netzersatzanlagen; INF.12.A17: Redundanzen für die IT-Verkabelung,Erhöht; Erhöht; Standard; Erhöht; Erhöht,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
ARCH.9.1,Dimensionierung der Netzanbindung,normal-SdT,teilweise,0.6687,NET.1.1.A29; NET.1.1.A15; NET.1.1.A13; NET.1.1.A27; NET.1.1.A30,NET.1.1.A29: Hochverfügbare Realisierung von Netzanbindungen; NET.1.1.A15: Regelmäßiger Soll-Ist-Vergleich; NET.1.1.A13: Netzplanung; NET.1.1.A27: Einbindung der Netzarchitektur in die Notfallplanung; NET.1.1.A30: Schutz vor Distributed-Denial-of-Service,Erhöht; Basis; Basis; Standard; Erhöht,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
ASST.3.11.1,Autorisierung von Peripheriegeräten,normal-SdT,teilweise,0.6339,SYS.4.1.A14; SYS.4.1.A2; IND.1.A14; OPS.1.1.2.A6; IND.1.A15,"SYS.4.1.A14: Authentisierung und Autorisierung bei Druckern, Kopierern und Multifunktionsgeräten; SYS.4.1.A2: Geeignete Aufstellung und Zugriff auf Drucker, Kopierer und Multifunktionsgeräte; IND.1.A14: Starke Authentisierung an OT-Komponenten; OPS.1.1.2.A6: Schutz administrativer Tätigkeiten; IND.1.A15: Überwachung von weitreichenden Berechtigungen",Erhöht; Basis; Erhöht; Basis; Erhöht,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
ASST.3.12,Autorisierung von Personen oder Institutionen,normal-SdT,teilweise,0.6389,IND.1.A7; IND.1.A14; OPS.1.1.1.A2; IND.1.A15; APP.4.2.A14,IND.1.A7: Etablieren einer übergreifenden Berechtigungsverwaltung zwischen der OT und in der Office-IT; IND.1.A14: Starke Authentisierung an OT-Komponenten; OPS.1.1.1.A2: Festlegung von Rollen und Berechtigungen für den IT-Betrieb; IND.1.A15: Überwachung von weitreichenden Berechtigungen; APP.4.2.A14: Identifizierung kritischer SAP-Berechtigungen,Standard; Erhöht; Basis; Erhöht; Standard,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
BER.1.3,Inventar Authentifizierungs- und Autorisierungssysteme,normal-SdT,teilweise,0.6968,IND.1.A14; ORP.4.A18; IND.1.A15; ORP.4.A17; OPS.1.1.7.A5,IND.1.A14: Starke Authentisierung an OT-Komponenten; ORP.4.A18: Einsatz eines zentralen Authentisierungsdienstes; IND.1.A15: Überwachung von weitreichenden Berechtigungen; ORP.4.A17: Geeignete Auswahl von Identitäts- und Berechtigungsmanagement-Systemen; OPS.1.1.7.A5: Gegenseitige Authentisierung von Systemmanagement-Lösung und zu verwaltenden Systemen,Erhöht; Standard; Erhöht; Standard; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
BER.2.3,Stammdatenprüfung,normal-SdT,teilweise,0.6349,APP.4.6.A6; IND.1.A14; ORP.4.A2; APP.4.6.A4; ORP.4.A13,"APP.4.6.A6: Vollständige Ausführung von Berechtigungsprüfungen; IND.1.A14: Starke Authentisierung an OT-Komponenten; ORP.4.A2: Einrichtung, Änderung und Entzug von Berechtigungen; APP.4.6.A4: Verzicht auf proprietäre Berechtigungsprüfungen; ORP.4.A13: Geeignete Auswahl von Authentisierungsmechanismen",Standard; Erhöht; Basis; Basis; Standard,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
BER.2.5,Deaktivierung bei Weggang,normal-SdT,teilweise,0.6167,ORP.4.A1; ORP.4.A14; OPS.1.1.2.A4; ORP.4.A2,"ORP.4.A1: Regelung für die Einrichtung und Löschung von Benutzenden und Benutzendengruppen; ORP.4.A14: Kontrolle der Wirksamkeit der Benutzendentrennung am IT-System bzw. an der Anwendung; OPS.1.1.2.A4: Beendigung der Tätigkeit in der IT-Administration; ORP.4.A2: Einrichtung, Änderung und Entzug von Berechtigungen",Basis; Standard; Basis; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
BER.3.4,Identität-Zugangskonto,normal-SdT,teilweise,0.6267,ORP.4.A2; IND.1.A14; ORP.4.A6; ORP.4.A24; ORP.4.A9,"ORP.4.A2: Einrichtung, Änderung und Entzug von Berechtigungen; IND.1.A14: Starke Authentisierung an OT-Komponenten; ORP.4.A6: Vergabe von Zugangsberechtigungen; ORP.4.A24: Vier-Augen-Prinzip für administrative Tätigkeiten; ORP.4.A9: Identifikation und Authentisierung",Basis; Erhöht; Basis; Erhöht; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
BER.3.6,Single-Sign-On,normal-SdT,teilweise,0.6578,CON.10.A1; IND.1.A14; APP.2.2.A9; SYS.1.1.A2; APP.3.1.A1,CON.10.A1: Authentisierung bei Webanwendungen; IND.1.A14: Starke Authentisierung an OT-Komponenten; APP.2.2.A9: Schutz der Authentisierung beim Einsatz von AD DS; SYS.1.1.A2: Authentisierung an Servern; APP.3.1.A1: Authentisierung,Basis; Erhöht; Standard; Basis; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
BER.3.9,Anmeldeversuchsgrenze am System,normal-SdT,teilweise,0.7028,ORP.4.A13; ORP.4.A8; IND.1.A14; APP.3.1.A1; ORP.4.A23,ORP.4.A13: Geeignete Auswahl von Authentisierungsmechanismen; ORP.4.A8: Regelung des Passwortgebrauchs; IND.1.A14: Starke Authentisierung an OT-Komponenten; APP.3.1.A1: Authentisierung; ORP.4.A23: Regelung für passwortverarbeitende Anwendungen und IT-Systeme,Standard; Basis; Erhöht; Basis; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
BER.3.12,Sperre der Anwendung bei Inaktivität,normal-SdT,teilweise,0.624,ORP.4.A13; SYS.2.1.A1; CON.10.A1; APP.3.1.A1; ORP.4.A14,ORP.4.A13: Geeignete Auswahl von Authentisierungsmechanismen; SYS.2.1.A1: Sichere Authentisierung von Benutzenden; CON.10.A1: Authentisierung bei Webanwendungen; APP.3.1.A1: Authentisierung; ORP.4.A14: Kontrolle der Wirksamkeit der Benutzendentrennung am IT-System bzw. an der Anwendung,Standard; Basis; Basis; Basis; Standard,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
BER.3.16,Gruppenkonten - MFA,normal-SdT,teilweise,0.6623,ORP.4.A21; ORP.4.A24; APP.1.4.A14; IND.1.A14; ORP.4.A10,ORP.4.A21: Mehr-Faktor-Authentisierung; ORP.4.A24: Vier-Augen-Prinzip für administrative Tätigkeiten; APP.1.4.A14: Unterstützung zusätzlicher Authentisierungsmerkmale bei Apps; IND.1.A14: Starke Authentisierung an OT-Komponenten; ORP.4.A10: Schutz von Benutzendenkennungen mit weitreichenden Berechtigungen,Erhöht; Erhöht; Erhöht; Erhöht; Standard,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
BER.3.20,Dienstekonten,normal-SdT,teilweise,0.6588,ORP.4.A23; IND.1.A14; ORP.4.A8; APP.2.2.A16; ORP.4.A18,ORP.4.A23: Regelung für passwortverarbeitende Anwendungen und IT-Systeme; IND.1.A14: Starke Authentisierung an OT-Komponenten; ORP.4.A8: Regelung des Passwortgebrauchs; APP.2.2.A16: Härtung der AD-DS-Konten; ORP.4.A18: Einsatz eines zentralen Authentisierungsdienstes,Basis; Erhöht; Basis; Basis; Standard,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
BER.5.5,Systemfunktionen ohne Authentifizierung,normal-SdT,teilweise,0.6564,CON.10.A1; IND.1.A14; APP.3.1.A1; OPS.1.1.2.A6; OPS.1.1.7.A6,CON.10.A1: Authentisierung bei Webanwendungen; IND.1.A14: Starke Authentisierung an OT-Komponenten; APP.3.1.A1: Authentisierung; OPS.1.1.2.A6: Schutz administrativer Tätigkeiten; OPS.1.1.7.A6: Absicherung des Zugriffs auf die Systemmanagement-Lösung,Basis; Erhöht; Basis; Basis; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
BER.5.6,Anwendungsfunktionen ohne Authentifizierung,normal-SdT,teilweise,0.6468,CON.10.A1; APP.3.1.A1; IND.1.A14; ORP.4.A13; CON.10.A12,CON.10.A1: Authentisierung bei Webanwendungen; APP.3.1.A1: Authentisierung; IND.1.A14: Starke Authentisierung an OT-Komponenten; ORP.4.A13: Geeignete Auswahl von Authentisierungsmechanismen; CON.10.A12: Verifikation essenzieller Änderungen,Basis; Basis; Erhöht; Standard; Standard,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
BER.6.2,Vorkonfigurierte Authentisierungsmittel,normal-SdT,teilweise,0.6575,CON.10.A1; ORP.4.A13; IND.1.A14; ORP.4.A23; ORP.4.A8,CON.10.A1: Authentisierung bei Webanwendungen; ORP.4.A13: Geeignete Auswahl von Authentisierungsmechanismen; IND.1.A14: Starke Authentisierung an OT-Komponenten; ORP.4.A23: Regelung für passwortverarbeitende Anwendungen und IT-Systeme; ORP.4.A8: Regelung des Passwortgebrauchs,Basis; Standard; Erhöht; Basis; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
BER.6.3,Deaktivierung einfacher Biometrie,normal-SdT,teilweise,0.6705,SYS.3.2.1.A18; APP.1.4.A14; IND.1.A14; ORP.4.A13; ORP.4.A21,SYS.3.2.1.A18: Verwendung biometrischer Authentisierung; APP.1.4.A14: Unterstützung zusätzlicher Authentisierungsmerkmale bei Apps; IND.1.A14: Starke Authentisierung an OT-Komponenten; ORP.4.A13: Geeignete Auswahl von Authentisierungsmechanismen; ORP.4.A21: Mehr-Faktor-Authentisierung,Standard; Erhöht; Erhöht; Standard; Erhöht,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
BER.6.4,Mehr-Faktor-Authentisierung am Perimeter,normal-SdT,teilweise,0.6527,APP.3.1.A1; APP.1.4.A14; CON.10.A1; ORP.4.A21; SYS.2.1.A37,APP.3.1.A1: Authentisierung; APP.1.4.A14: Unterstützung zusätzlicher Authentisierungsmerkmale bei Apps; CON.10.A1: Authentisierung bei Webanwendungen; ORP.4.A21: Mehr-Faktor-Authentisierung; SYS.2.1.A37: Verwendung von Mehr-Faktor-Authentisierung,Basis; Erhöht; Basis; Erhöht; Erhöht,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
